OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,Order Quantity,Discount Applied,Unit Cost,Unit Price,Procurement_to_Order_Days,Order_to_Ship_Days,Ship_to_Delivery_Days,Total_Lead_Time,Profit_Margin,Total_Revenue,Price_Quantity_Interaction,Cost_Quantity_Interaction,Discount_Price_Interaction,Margin_Quantity_Interaction,LeadTime_Quantity_Interaction,Price_Cost_Ratio,Discount_Margin_Interaction,iso_forest_outlier,Discount Applied_transformed,Total_Revenue_transformed,Price_Quantity_Interaction_transformed,Cost_Quantity_Interaction_transformed,Discount_Price_Interaction_transformed,Margin_Quantity_Interaction_transformed,_SalesTeamID_x__CustomerID,_SalesTeamID_x__StoreID,_SalesTeamID_x__ProductID,_SalesTeamID_x_Order Quantity,_SalesTeamID_x_Discount Applied,_SalesTeamID_x_Unit Cost,_SalesTeamID_x_Unit Price,_SalesTeamID_x_Procurement_to_Order_Days,_SalesTeamID_x_Order_to_Ship_Days,_CustomerID_x__StoreID,_CustomerID_x__ProductID,_CustomerID_x_Order Quantity,_CustomerID_x_Discount Applied,_CustomerID_x_Unit Cost,_CustomerID_x_Unit Price,_CustomerID_x_Procurement_to_Order_Days,_CustomerID_x_Order_to_Ship_Days,_StoreID_x__ProductID,_StoreID_x_Order Quantity,_StoreID_x_Discount Applied,_StoreID_x_Unit Cost,_StoreID_x_Unit Price,_StoreID_x_Procurement_to_Order_Days,_StoreID_x_Order_to_Ship_Days,_ProductID_x_Order Quantity,_ProductID_x_Discount Applied,_ProductID_x_Unit Cost,_ProductID_x_Unit Price,_ProductID_x_Procurement_to_Order_Days,_ProductID_x_Order_to_Ship_Days,Order Quantity_x_Discount Applied,Order Quantity_x_Unit Cost,Order Quantity_x_Unit Price,Order Quantity_x_Procurement_to_Order_Days,Order Quantity_x_Order_to_Ship_Days,Discount Applied_x_Unit Cost,Discount Applied_x_Unit Price,Discount Applied_x_Procurement_to_Order_Days,Discount Applied_x_Order_to_Ship_Days,Unit Cost_x_Procurement_to_Order_Days,Unit Cost_x_Order_to_Ship_Days,Unit Price_x_Procurement_to_Order_Days,Unit Price_x_Order_to_Ship_Days,Procurement_to_Order_Days_x_Order_to_Ship_Days
SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-06-01,2018-06-15,2018-06-20,6,0.1,129.44,214.4,152,14,5,171,0.45161290322580644,1085.4,1206.0,747.72,20.1,2.7096774193548385,1026.0,1.6129032258051572,0.04516129032258065,0.0,0.2379668888183211,-1.4720539064814449,-1.49199575696856,-1.4596347166192225,-1.8410474746643075,0.6291413006323425,483,460,874,138,2.3000000000000003,2977.12,4931.2,3496,322,420,798,126,2.1,2718.24,4502.400000000001,3192,294,760,120,2.0,2588.8,4288.0,3040,280,228,3.8000000000000003,4918.72,8147.2,5776,532,0.6000000000000001,776.64,1286.4,912,84,12.944,21.44,15.200000000000001,1.4000000000000001,19674.88,1812.1599999999999,32588.8,3001.6,2128
SO - 000112,In-Store,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-07,2018-06-17,5,0.15,2762.28,5793.489999999999,54,6,10,73,0.9318153843926028,26681.075,31054.5,13811.400000000001,840.18,4.659076921963014,340.0,2.2727239816382743,0.12500000000000003,0.6999999999998181,0.9975260600959536,1.6696335904881034,1.7092952970448676,1.2852816340333535,1.834652744286364,1.274757241213703,210,1520,400,50,1.5,27622.800000000003,57934.89999999999,540,60,3192,840,105,3.15,58007.880000000005,121663.28999999998,1134,126,6080,760,22.8,419866.56000000006,880610.4799999999,8208,912,200,6.0,110491.20000000001,231739.59999999995,2160,240,0.75,13811.400000000001,28967.449999999993,270,30,414.34200000000004,869.0234999999998,8.1,0.8999999999999999,149163.12000000002,16573.68,312848.45999999996,34760.939999999995,324
SO - 000113,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-22,2018-07-02,5,0.05,641.66,1051.9,54,21,10,83,0.5573746220739958,4996.525,5259.5,3208.2999999999997,52.595000000000006,2.786873110369979,415.0,1.6393417074460557,0.027868731103699793,0.0,-1.1667839207886594,-0.1772119220450783,-0.2507341311778691,-0.24580312135281537,-1.0550388194054134,0.661857607688201,144,1268,156,20,0.2,2566.64,4207.6,216,84,11412,1404,180,1.8,23099.76,37868.4,1944,756,12363,1585,15.850000000000001,203406.22,333452.30000000005,17118,6657,195,1.9500000000000002,25024.739999999998,41024.100000000006,2106,819,0.25,3208.2999999999997,5259.5,270,105,32.083,52.595000000000006,2.7,1.05,34649.64,13474.859999999999,56802.600000000006,22089.9,1134
SO - 000114,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-07,2018-06-15,6,0.15,216.41,254.6,54,6,8,73,0.0,1298.4599999999998,1527.6,1298.46,38.19,0.0,396.0,1.204816706989063,0.0,0.0,0.9975260600959536,-1.3362832593433775,-1.3125824778073263,-1.0321996658420554,-1.328578570747238,-1.74389422188882,136,2328,256,48,1.2,1731.28,2036.8,432,48,4947,544,102,2.55,3678.97,4328.2,918,102,9312,1746,43.65,62975.31,74088.59999999999,15714,1746,192,4.8,6925.12,8147.2,1728,192,0.8999999999999999,1298.46,1527.6,324,36,32.4615,38.19,8.1,0.8999999999999999,11686.14,1298.46,13748.4,1527.6,324
SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-15,2018-06-20,6,0.15,3146.32,3932.9,152,14,5,171,0.06249999999999999,20057.79,23597.4,18877.920000000002,589.935,0.37499999999999994,1026.0,1.2499999999999603,0.009374999999999998,0.0,0.9975260600959536,1.3183028812871285,1.3673507753263228,1.6613455462137494,1.410144852605099,-1.11131342212278,288,1242,54,54,1.3499999999999999,28316.88,35396.1,1368,126,4416,192,192,4.8,100682.24,125852.8,4864,448,828,828,20.7,434192.16000000003,542740.2000000001,20976,1932,36,0.8999999999999999,18877.920000000002,23597.4,912,84,0.8999999999999999,18877.920000000002,23597.4,912,84,471.948,589.935,22.8,2.1,478240.64,44048.48,597800.8,55060.6,2128
SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-06-01,2018-06-24,2018-07-02,3,0.05,700.69,1112.2,152,23,8,183,0.5079278996417814,3169.77,3336.6000000000004,2102.07,55.61000000000001,1.5237836989253442,549.0,1.587292525938491,0.025396394982089072,0.0,-1.1667839207886594,-0.5975385176610546,-0.667065431776483,-0.6273753359742829,-1.0061791237931648,-0.007207773129934228,55,1750,125,15,0.25,3503.4500000000003,5561.0,760,115,3850,275,33,0.55,7707.59,12234.2,1672,253,8750,1050,17.5,245241.50000000003,389270.0,53200,8050,75,1.25,17517.25,27805.0,3800,575,0.15000000000000002,2102.07,3336.6000000000004,456,69,35.0345,55.61000000000001,7.6000000000000005,1.1500000000000001,106504.88,16115.87,169054.4,25580.600000000002,3496
SO - 000117,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-19,2018-06-27,3,0.075,904.84,1239.5,54,18,8,78,0.2671162857521773,3439.6125,3718.5,2714.52,92.96249999999999,0.8013488572565318,234.0,1.3698554440562563,0.020033721431413295,0.0,-0.3550422678826752,-0.5243641287174804,-0.5707495981407403,-0.39967361403806667,-0.5386826642167618,-0.6043479766329747,90,2880,54,27,0.6749999999999999,8143.56,11155.5,486,162,3200,60,30,0.75,9048.4,12395.0,540,180,1920,960,24.0,289548.8,396640.0,17280,5760,18,0.44999999999999996,5429.04,7437.0,324,108,0.22499999999999998,2714.52,3718.5,162,54,67.863,92.96249999999999,4.05,1.3499999999999999,48861.36,16287.12,66933.0,22311.0,972
SO - 000118,In-Store,WARE-XYS1001,2018-04-10,2018-06-01,2018-06-06,2018-06-14,4,0.1,393.96,984.9,54,5,8,73,1.1951283014260554,3545.64,3939.6,1575.84,98.49000000000001,5.0,260.0,2.3809588318433983,0.125,0.0,0.2379668888183211,-0.49692214536672297,-0.5187045960184155,-0.873195083211674,-0.4841884550792119,1.3601251649482524,240,168,24,32,0.8,3151.68,7879.2,432,40,630,90,120,3.0,11818.8,29547.0,1620,150,63,84,2.1,8273.16,20682.899999999998,1134,105,12,0.30000000000000004,1181.8799999999999,2954.7,162,15,0.4,1575.84,3939.6,216,20,39.396,98.49000000000001,5.4,0.5,21273.84,1969.8,53184.6,4924.5,270
SO - 000119,In-Store,WARE-MKL1006,2018-04-10,2018-06-01,2018-06-07,2018-06-15,4,0.1,3646.4449999999997,5581.1,54,6,8,73,0.2162173941467455,20091.960000000003,22324.4,16520.04,558.11,0.864869576586982,264.0,1.3513526601630177,0.021621739414674553,0.0,0.2379668888183211,1.3203505009522751,1.300159189815983,1.498522070019786,1.3451617449383906,-0.5411818523329459,25,1745,100,20,0.5,18232.225,27905.5,270,30,1745,100,20,0.5,18232.225,27905.5,270,30,6980,1396,34.9,1272609.305,1947803.9000000001,18846,2094,80,2.0,72928.9,111622.0,1080,120,0.4,14585.779999999999,22324.4,216,24,364.6445,558.11,5.4,0.6000000000000001,196908.02999999997,21878.67,301379.4,33486.600000000006,324
SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-11,2018-06-17,4,0.05,1795.33,3095.4,152,10,6,168,0.6379328591401024,11762.52,12381.6,7181.32,154.77,2.55173143656041,672.0,1.7241398517263276,0.031896642957005124,0.0,-1.1667839207886594,0.7035552688783182,0.6227499661462336,0.5556554801224003,-0.04393828159265335,0.5595987607832381,322,1876,336,56,0.7000000000000001,25134.62,43335.6,2128,140,3082,552,92,1.1500000000000001,41292.59,71194.2,3496,230,3216,536,6.7,240574.22,414783.60000000003,20368,1340,96,1.2000000000000002,43087.92,74289.6,3648,240,0.2,7181.32,12381.6,608,40,89.76650000000001,154.77,7.6000000000000005,0.5,272890.16,17953.3,470500.8,30954.0,1520
SO - 000121,Wholesale,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-18,2018-06-20,4,0.3,1754.06,2278.0,54,17,2,73,0.0,5467.2,9112.0,7016.24,840.18,0.0,284.0,1.2987012987012247,0.0,0.6999999999998181,1.799423038740718,-0.09029331463475937,0.29563241076978,0.5310691751322354,1.834652744286364,-1.74389422188882,1150,4825,825,100,7.5,43851.5,56950.0,1350,425,8878,1518,184,13.799999999999999,80686.76,104788.0,2484,782,6369,772,57.9,338533.58,439654.0,10422,3281,132,9.9,57883.979999999996,75174.0,1782,561,1.2,7016.24,9112.0,216,68,526.218,683.4,16.2,5.1,94719.23999999999,29819.02,123012.0,38726.0,918
SO - 000122,In-Store,WARE-PUJ1005,2018-04-10,2018-06-02,2018-06-10,2018-06-16,7,0.075,654.46,991.6,54,8,6,73,0.40150658558200647,6420.610000000001,6941.2,4581.22,74.37,2.8105460990740454,469.0,1.5151422546830187,0.030112993918650483,0.0,-0.3550422678826752,0.06812558123259625,0.018889456407565147,0.09601363013489896,-0.7455080068363878,0.6717314364339749,28,564,6,14,0.15,1308.92,1983.2,108,16,3948,42,98,1.05,9162.44,13882.4,756,112,846,1974,21.15,184557.72,279631.2,15228,2256,21,0.22499999999999998,1963.38,2974.8,162,24,0.525,4581.22,6941.2,378,56,49.0845,74.37,4.05,0.6,35340.840000000004,5235.68,53546.4,7932.8,432
SO - 000123,In-Store,WARE-XYS1001,2018-04-10,2018-06-02,2018-06-26,2018-06-28,2,0.2,3064.45,3979.8,54,24,2,79,0.0389596828142082,6367.68,7959.6,6128.9,795.96,0.0779193656284164,158.0,1.2986996035177178,0.007791936562841641,0.0,1.4194088442496877,0.059865451526694334,0.156564418510285,0.3898913235618694,1.7685921553630868,-1.591342391387023,280,140,245,14,1.4000000000000001,21451.149999999998,27858.600000000002,378,168,800,1400,80,8.0,122578.0,159192.0,2160,960,700,40,4.0,61289.0,79596.0,1080,480,70,7.0,107255.75,139293.0,1890,840,0.4,6128.9,7959.6,108,48,612.89,795.96,10.8,4.800000000000001,165480.3,73546.79999999999,214909.2,95515.20000000001,1296
SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-22,2018-07-02,3,0.3,866.71,1969.8,153,20,10,183,0.3636395103321755,3545.64,5909.4,2600.13,787.9200000000001,1.0909185309965266,549.0,2.2727325172200303,0.12500000000000003,0.0,1.799423038740718,-0.49692214536672297,-0.13901231648900542,-0.4386600139671689,1.75623460786817,-0.33560613711546805,456,5232,360,72,7.199999999999999,20801.04,47275.2,3672,480,4142,285,57,5.7,16467.49,37426.2,2907,380,3270,654,65.39999999999999,188942.78,429416.39999999997,33354,4360,45,4.5,13000.650000000001,29547.0,2295,300,0.8999999999999999,2600.13,5909.4,459,60,260.013,590.9399999999999,45.9,6.0,132606.63,17334.2,301379.39999999997,39396.0,3060
SO - 000125,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-16,2018-06-24,1,0.15,131.32,268.0,54,14,8,75,0.7346938775510203,744.0015000000001,857.6,490.94700000000006,40.199999999999996,0.7346938775510203,118.0,2.0408163265290584,0.11020408163265305,0.0,0.9975260600959536,-1.7453914121882859,-1.7386657337172247,-1.7612413241584624,-1.2855404332327676,-0.6735519455766588,60,692,52,4,0.6,525.28,1072.0,216,56,2595,195,15,2.25,1969.8,4020.0,810,210,2249,173,25.95,22718.36,46364.0,9342,2422,13,1.95,1707.1599999999999,3484.0,702,182,0.15,131.32,268.0,54,14,19.697999999999997,40.199999999999996,8.1,2.1,7091.28,1838.48,14472.0,3752.0,756
SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-06-02,2018-06-21,2018-07-01,7,0.1,129.44,214.4,153,19,10,182,0.6363636363636364,1097.4599999999998,1219.3999999999999,670.6700000000001,18.09,4.454545454545454,1255.3999999999996,1.8181818181799203,0.06363636363636364,0.0,0.2379668888183211,-1.463798405884738,-1.4837649914224906,-1.5395422675033286,-1.9204842120434626,1.2205434898574827,828,1980,432,126,1.8,2329.92,3859.2000000000003,2754,342,5060,1104,322,4.6000000000000005,5954.24,9862.4,7038,874,2640,770,11.0,14238.4,23584.0,16830,2090,168,2.4000000000000004,3106.56,5145.6,3672,456,0.7000000000000001,906.0799999999999,1500.8,1071,133,12.944,21.44,15.3,1.9000000000000001,19804.32,2459.36,32803.200000000004,4073.6,2907
SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-26,2018-07-06,3,0.075,2510.09,2988.2,153,24,10,187,0.1011895987793266,8292.255,8964.599999999999,7530.27,224.11499999999998,0.3035687963379798,561.0,1.204816706989063,0.007589219908449494,0.0,-0.3550422678826752,0.3289721523731096,0.2786934397996277,0.6060980189739577,0.3352962648319431,-1.214602707680458,224,1603,315,21,0.525,17570.63,20917.399999999998,1071,168,7328,1440,96,2.4,80322.88,95622.4,4896,768,10305,687,17.175,574810.61,684297.7999999999,35037,5496,135,3.375,112954.05,134469.0,6885,1080,0.22499999999999998,7530.27,8964.599999999999,459,72,188.25675,224.11499999999998,11.475,1.7999999999999998,384043.77,60242.16,457194.6,71716.79999999999,3672
SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-20,2018-06-29,4,0.05,2679.93,3999.9,153,18,9,180,0.41791203501583996,15199.619999999999,15999.6,10719.72,199.995,1.6716481400633598,720.0,1.4925389842271444,0.020895601750791998,0.0,-1.1667839207886594,0.9921521440326675,0.9092557481262095,0.9936242095621883,0.21683726822260482,0.08984772097305668,288,2142,324,36,0.45,24119.37,35999.1,1377,162,7616,1152,128,1.6,85757.76,127996.8,4896,576,8568,952,11.9,637823.34,951976.2000000001,36414,4284,144,1.8,96477.48,143996.4,5508,648,0.2,10719.72,15999.6,612,72,133.9965,199.995,7.65,0.9,410029.29,48238.74,611984.7000000001,71998.2,2754
SO - 000129,Distributor,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-21,2018-06-22,3,0.05,2450.32,5793.489999999999,54,19,1,73,1.1951283014260554,17032.739999999998,17929.199999999997,7350.960000000001,298.82,3.9512308596428203,219.0,2.3809588318433983,0.06585384766071367,0.0,-1.1667839207886594,1.1242700417563913,1.040461989809592,0.5804297635719908,0.6419178977064073,1.0761181501929906,440,1940,740,60,1.0,49006.4,115869.79999999997,1080,380,2134,814,66,1.1,53907.04,127456.77999999997,1188,418,3589,291,4.8500000000000005,237681.04,561968.5299999999,5238,1843,111,1.85,90661.84000000001,214359.12999999995,1998,703,0.15000000000000002,7350.960000000001,17380.469999999998,162,57,122.51600000000002,289.67449999999997,2.7,0.9500000000000001,132317.28,46556.08,312848.45999999996,110076.30999999998,1026
SO - 000130,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-27,2018-06-29,5,0.1,2378.9,2901.1,54,25,2,80,0.09756189835638307,13054.95,14505.5,11894.5,290.11,0.48780949178191535,400.0,1.21951322039593,0.009756189835638307,0.0,0.2379668888183211,0.8194607649557037,0.7982526031853626,1.1119048733472807,0.6098987161301509,-0.9605732633782385,40,824,256,40,0.8,19031.2,23208.8,432,200,515,160,25,0.5,11894.5,14505.5,270,125,3296,515,10.3,245026.7,298813.3,5562,2575,160,3.2,76124.8,92835.2,1728,800,0.5,11894.5,14505.5,270,125,237.89000000000001,290.11,5.4,2.5,128460.6,59472.5,156659.4,72527.5,1350
SO - 000131,In-Store,WARE-PUJ1005,2018-04-10,2018-06-03,2018-06-26,2018-07-05,7,0.075,2734.61,5793.489999999999,54,23,9,86,1.055551797148405,27557.032999999996,31054.5,19142.27,455.7675,6.800000000000002,602.0,2.2222181590792753,0.07916638478613038,0.0,-0.3550422678826752,1.7104498980769889,1.7092952970448676,1.6785139784556193,1.1113811045128923,1.731406340857918,232,2440,184,56,0.6,21876.88,46347.91999999999,432,184,8845,667,203,2.175,79303.69,168011.20999999996,1566,667,7015,2135,22.875,834056.05,1767014.4499999997,16470,7015,161,1.7249999999999999,62896.030000000006,133250.26999999996,1242,529,0.525,19142.27,40554.42999999999,378,161,205.09575,434.5117499999999,4.05,1.7249999999999999,147668.94,62896.030000000006,312848.45999999996,133250.26999999996,1242
